# id	type	subtype	attack	magic_attack	defense	magic_defense	slots	weapon_level	equip_level	jobs	locations	name	scripted
1101	Weapon	1hSword	25	0	0	0	3	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Sword	0
1102	Weapon	1hSword	25	0	0	0	4	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Sword	0
1103	Weapon	1hSword	25	0	0	0	0	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Sword	0
1104	Weapon	1hSword	39	0	0	0	3	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Falchion	0
1105	Weapon	1hSword	39	0	0	0	4	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Falchion	0
1106	Weapon	1hSword	39	0	0	0	0	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Falchion	0
1107	Weapon	1hSword	53	0	0	0	3	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Blade	0
1108	Weapon	1hSword	53	0	0	0	4	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Blade	0
1109	Weapon	1hSword	53	0	0	0	0	1	2	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Blade	0
1110	Weapon	1hSword	70	0	0	0	2	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Rapier	0
1111	Weapon	1hSword	70	0	0	0	3	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Rapier	0
1112	Weapon	1hSword	70	0	0	0	0	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Rapier	0
1113	Weapon	1hSword	85	0	0	0	2	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Scimitar	0
1114	Weapon	1hSword	85	0	0	0	3	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Scimitar	0
1115	Weapon	1hSword	85	0	0	0	3	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Scimitar	0
1116	Weapon	2hSword	60	0	0	0	3	1	4	Crusader,Knight,Swordsman	Both_Hand	Katana	0
1117	Weapon	2hSword	60	0	0	0	4	1	4	Crusader,Knight,Swordsman	Both_Hand	Katana	0
1118	Weapon	2hSword	60	0	0	0	0	1	4	Crusader,Knight,Swordsman	Both_Hand	Katana	0
1119	Weapon	1hSword	130	0	0	0	1	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Tsurugi	0
1120	Weapon	1hSword	130	0	0	0	2	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Tsurugi	0
1121	Weapon	1hSword	130	0	0	0	0	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Tsurugi	0
1122	Weapon	1hSword	100	0	0	0	2	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Ring Pommel Saber	0
1123	Weapon	1hSword	120	0	0	0	1	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Haedonggum	1
1124	Weapon	1hSword	90	0	0	0	0	3	5	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Novice,Rogue,SuperNovice,Swordsman,Thief	Right_Hand	Orcish Sword	1
1125	Weapon	1hSword	100	0	0	0	3	2	14	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Ring Pommel Saber	0
1126	Weapon	1hSword	115	0	0	0	2	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Saber	0
1127	Weapon	1hSword	115	0	0	0	3	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Saber	0
1128	Weapon	1hSword	120	0	0	0	2	3	27	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Haedonggum	1
1129	Weapon	1hSword	150	0	0	0	0	3	27	Crusader,Knight	Right_Hand	Flamberge	0
1130	Weapon	1hSword	120	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Nagan	1
1131	Weapon	1hSword	100	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Ice Falchion	1
1132	Weapon	1hSword	115	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Edge	1
1133	Weapon	1hSword	100	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Fireblend	1
1134	Weapon	1hSword	140	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Caesar's Sword	1
1135	Weapon	1hSword	150	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Cutlus	1
1136	Weapon	1hSword	85	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Solar Sword	1
1137	Weapon	1hSword	150	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Excalibur	1
1138	Weapon	1hSword	170	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Mysteltainn	1
1139	Weapon	1hSword	200	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Tirfing	1
1140	Weapon	1hSword	150	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Byeollungum	1
1141	Weapon	1hSword	140	0	0	0	0	4	40	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Immaterial Sword	1
1142	Weapon	1hSword	104	0	0	0	0	3	68	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Jeweled Sword	1
1143	Weapon	1hSword	140	0	0	0	0	3	74	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Gaia Sword	1
1144	Weapon	1hSword	75	0	0	0	0	3	48	Alchemist,Assassin,Blacksmith,Crusader,Knight,Merchant,Rogue,Swordsman,Thief	Right_Hand	Sashimi	1
1145	Weapon	1hSword	125	0	0	0	0	3	75	Crusader	Right_Hand	Holy Avenger	1
1146	Weapon	1hSword	100	0	0	0	1	3	30	Novice,SuperNovice	Right_Hand	Town Sword	0
1147	Weapon	1hSword	100	0	0	0	2	3	30	Novice,SuperNovice	Right_Hand	Town Sword	0
1148	Weapon	1hSword	140	0	0	0	1	4	45	Novice,SuperNovice	Right_Hand	Star Dust Blade	1
1149	Weapon	1hSword	150	0	0	0	2	3	27	Crusader,Knight	Right_Hand	Flamberge	0
1151	Weapon	2hSword	90	0	0	0	2	2	18	Crusader,Knight,Swordsman	Both_Hand	Slayer	0
1152	Weapon	2hSword	90	0	0	0	3	2	18	Crusader,Knight,Swordsman	Both_Hand	Slayer	0
1153	Weapon	2hSword	90	0	0	0	0	2	18	Crusader,Knight,Swordsman	Both_Hand	Slayer	0
1154	Weapon	2hSword	115	0	0	0	2	2	18	Crusader,Knight,Swordsman	Both_Hand	Bastard Sword	0
1155	Weapon	2hSword	115	0	0	0	3	2	18	Crusader,Knight,Swordsman	Both_Hand	Bastard Sword	0
1156	Weapon	2hSword	115	0	0	0	0	2	18	Crusader,Knight,Swordsman	Both_Hand	Bastard Sword	0
1157	Weapon	2hSword	160	0	0	0	1	3	33	Crusader,Knight,Swordsman	Both_Hand	Two-Handed Sword	0
1158	Weapon	2hSword	160	0	0	0	2	3	33	Crusader,Knight,Swordsman	Both_Hand	Two-Handed Sword	0
1159	Weapon	2hSword	160	0	0	0	0	3	33	Crusader,Knight,Swordsman	Both_Hand	Two-Handed Sword	0
1160	Weapon	2hSword	140	0	0	0	1	3	33	Crusader,Knight,Swordsman	Both_Hand	Broad Sword	1
1161	Weapon	2hSword	250	0	0	0	0	4	48		Both_Hand	Balmung	1
1162	Weapon	2hSword	140	0	0	0	2	3	33	Crusader,Knight,Swordsman	Both_Hand	Broad Sword	1
1163	Weapon	2hSword	180	0	0	0	0	3	33	Crusader,Knight	Both_Hand	Claymore	0
1164	Weapon	2hSword	155	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Muramasa	1
1165	Weapon	2hSword	200	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Masamune	1
1166	Weapon	2hSword	150	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Dragon Slayer	1
1167	Weapon	2hSword	160	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Schweizersabel	1
1168	Weapon	2hSword	200	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Zweihander	1
1169	Weapon	2hSword	155	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Executioner	1
1170	Weapon	2hSword	175	0	0	0	0	4	48	Crusader,Knight,Swordsman	Both_Hand	Katzbalger	1
1171	Weapon	2hSword	200	0	0	0	2	4	48	Crusader,Knight,Swordsman	Both_Hand	Zweihander	1
1172	Weapon	2hSword	180	0	0	0	2	3	33	Crusader,Knight	Both_Hand	Claymore	0
1173	Weapon	2hSword	204	0	0	0	0	4	1	Crusader,Knight,Swordsman	Both_Hand	Muramasa	1
1174	Weapon	2hSword	190	0	0	0	0	4	0	Crusader,Knight,Swordsman	Both_Hand	Executioner	1
1175	Weapon	2hSword	200	0	0	0	1	4	55	Crusader,Knight,Swordsman	Both_Hand	Atlas Weapon	1
